Configurations:
Preprocessing: SWR, Lem, Metadata
Feature Extraction: BOW
MultiClass
NB
              precision    recall  f1-score   support

           4       0.65      0.67      0.66       146
           8       0.87      0.85      0.86       364
           9       0.66      0.68      0.67       173

    accuracy                           0.77       683
   macro avg       0.73      0.73      0.73       683
weighted avg       0.77      0.77      0.77       683

DT
              precision    recall  f1-score   support

           4       0.28      0.58      0.37        73
           8       0.70      0.81      0.75       310
           9       0.71      0.42      0.53       300

    accuracy                           0.61       683
   macro avg       0.56      0.60      0.55       683
weighted avg       0.66      0.61      0.61       683

LR
              precision    recall  f1-score   support

           4       0.61      0.70      0.65       132
           8       0.90      0.80      0.85       399
           9       0.58      0.68      0.63       152

    accuracy                           0.75       683
   macro avg       0.70      0.73      0.71       683
weighted avg       0.77      0.75      0.76       683

