Configurations:
Preprocessing: SWR, Lem, Metadata
Feature Extraction: BOW
MultiClass
NB
              precision    recall  f1-score   support

           4       0.26      0.78      0.40        51
           8       0.91      0.79      0.84       408
           9       0.70      0.55      0.62       224

    accuracy                           0.71       683
   macro avg       0.62      0.71      0.62       683
weighted avg       0.79      0.71      0.74       683

DT
              precision    recall  f1-score   support

           4       0.33      0.60      0.43        84
           8       0.82      0.91      0.86       320
           9       0.78      0.49      0.61       279

    accuracy                           0.70       683
   macro avg       0.64      0.67      0.63       683
weighted avg       0.74      0.70      0.70       683

LR
              precision    recall  f1-score   support

           4       0.70      0.69      0.69       152
           8       0.88      0.87      0.88       361
           9       0.64      0.66      0.65       170

    accuracy                           0.78       683
   macro avg       0.74      0.74      0.74       683
weighted avg       0.78      0.78      0.78       683

